"plot","tmin","tmax","mean_prec","mean_vp","mean_srad"
"085-ABSF-0001",-21.5,37.5,3.28109589041096,1136.04383561644,335.705424657534
"085-ABSF-0002",-21.5,37.5,3.26082191780822,1137.11780821918,336.452383561644
"085-ABSF-0003",-21.5,37.5,3.26082191780822,1137.11780821918,336.452383561644
"085-ABSF-0004",-21.5,37.5,3.21369863013699,1137.84109589041,335.784328767123
"085-ABSF-0005",-21.5,37.5,3.2372602739726,1136.94246575342,335.414356164384
"085-ABSF-0006",-21.5,37.5,3.28328767123288,1136.39452054795,336.077150684931
"085-ABSF-0007",-21.5,37.5,3.2958904109589,1135.97808219178,336.117479452055
"085-ABSF-0008",-21.5,37.5,3.23890410958904,1137.16164383562,336.66104109589
"085-ABSF-0009",-21.5,37.5,3.27452054794521,1136.50410958904,336.568109589041
"085-ABSF-0010",-21.5,37.5,3.2958904109589,1135.97808219178,336.117479452055
"085-ABSF-0011",-21.5,37.5,3.2958904109589,1135.97808219178,336.117479452055
"085-ABSF-0012",-21.5,37.5,3.2958904109589,1135.97808219178,336.117479452055
"085-ABSF-0013",-21.5,37.5,3.32,1135.36438356164,336.038575342466
"085-ABSF-0014",-21.5,37.5,3.32,1135.36438356164,336.038575342466
"085-ABSF-0015",-21.5,37.5,3.26684931506849,1138.08219178082,336.308602739726
"085-ABSF-0016",-16,36.5,3.26520547945205,1163.81369863014,333.247123287671
"085-ABSF-0017",-16,36.5,3.31835616438356,1164.42739726027,333.452273972603
"085-ABSF-0018P",-16,37.5,3.33424657534247,1172.93150684932,334.190465753425
"085-ABSF-0019",-16,37.5,2.84493150684932,1171.00273972603,335.826410958904
"085-ABSF-0020",-16,37.5,2.88054794520548,1170.69589041096,336.455890410959
"085-ABSF-0021",-16,38,2.8641095890411,1172.73424657534,336.561095890411
"085-ABSF-0022",-16,37.5,2.90520547945205,1168.89863013699,336.443616438356
"085-ABSF-0023",-17.5,38,2.94520547945205,1166.75068493151,334.669150684931
"085-ACCO-0018",-11,36.5,3.14739726027397,1401.07397260274,315.649753424658
"085-ACCO-0024",-12,38.5,3.26027397260274,1464.02191780822,311.783452054795
"085-ACCO-0025",-12,38.5,3.26027397260274,1464.02191780822,311.783452054795
"085-ALBE-0001",-23,38.5,3.31397260273973,1102.57534246575,332.40197260274
"085-ALBE-0002",-23,38.5,3.31397260273973,1102.57534246575,332.40197260274
"085-ALBE-0003",-23,38.5,3.31397260273973,1102.57534246575,332.40197260274
"085-ALBE-0004",-18.5,37,3.13479452054795,1092.9095890411,334.546410958904
"085-ALBE-0005",-18.5,37,3.13479452054795,1092.9095890411,334.546410958904
"085-ALBE-0006P",-15,36.5,3.60438356164384,1088.72328767123,335.428383561644
